start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,flow_type,target_rate_mbps,date,time
93.000205,94.000206,1.0000009536743164,3742048,29936355.45046668,0.561172458141944,0,2776,0.0,False,False,udp,30,20251009,043418_782517
94.000206,95.000198,0.9999920129776,3762268,30098384.396470375,0.462947221377958,0,2791,0.0,False,False,udp,30,20251009,043418_782517
95.000198,96.000202,1.0000040531158447,3750136,30000966.402607717,0.4613567412203427,0,2782,0.0,False,False,udp,30,20251009,043418_782517
96.000202,97.000111,0.999908983707428,3723176,29788119.204172656,0.6660563675034094,0,2762,0.0,False,False,udp,30,20251009,043418_782517
97.000111,98.000206,1.000095009803772,3746092,29965888.946771316,0.54282303179394,0,2779,0.0,False,False,udp,30,20251009,043418_782517
98.000206,99.000205,0.9999989867210388,3775748,30206014.6071191,0.5095921759037954,0,2801,0.0,False,False,udp,30,20251009,043418_782517
99.000205,100.00022,1.0000150203704834,3724524,29795744.45687943,0.533700731138315,0,2763,0.0,False,False,udp,30,20251009,043418_782517
100.00022,101.000206,0.9999859929084778,3769008,30152486.34863591,0.419451587348475,0,2796,0.0,False,False,udp,30,20251009,043418_782517
101.000206,102.000204,0.9999979734420776,3769008,30152125.105028007,0.3589831843263065,0,2796,0.0,False,False,udp,30,20251009,043418_782517
102.000204,103.000205,1.0000009536743164,3729916,29839299.543026406,0.527675549613996,0,2767,0.0,False,False,udp,30,20251009,043418_782517
103.000205,104.000219,1.0000139474868774,3758224,30065372.663609307,0.49582496144399263,0,2788,0.0,False,False,udp,30,20251009,043418_782517
104.000219,105.000175,0.9999560117721558,3742048,29937700.9064086,0.5066353241493264,0,2776,0.0,False,False,udp,30,20251009,043418_782517
105.000175,106.000145,0.999970018863678,3769008,30152968.02024473,0.3724625038803659,0,2796,0.0,False,False,udp,30,20251009,043418_782517
106.000145,107.000207,1.0000619888305664,3716436,29729645.094067466,0.703308438042423,0,2757,0.0,False,False,udp,30,20251009,043418_782517
107.000207,108.000208,1.0000009536743164,3746092,29968707.41961344,0.5444460232992133,0,2779,0.0,False,False,udp,30,20251009,043418_782517
108.000208,109.000204,0.9999960064888,3750136,30001207.8101594,0.5172343176550842,0,2782,0.0,False,False,udp,30,20251009,043418_782517
109.000204,110.000199,0.999994993209839,3775748,30206135.2357807,0.5196352078546683,0,2801,0.0,False,False,udp,30,20251009,043418_782517
110.000199,111.000199,1.0,3750136,30001088.0,0.5161510266149533,0,2782,0.0,False,False,udp,30,20251009,043418_782517
111.000199,112.000205,1.0000059604644775,3724524,29796014.401914585,0.36383827136054286,0,2763,0.0,False,False,udp,30,20251009,043418_782517
112.000205,113.000093,0.999888002872467,3767660,30144656.114895336,0.571157265011379,0,2795,0.0,False,False,udp,30,20251009,043418_782517
113.000093,114.000204,1.0001109838485718,3735308,29879147.897174325,0.802466161560544,0,2771,0.0,False,False,udp,30,20251009,043418_782517
114.000204,115.000203,0.9999989867210388,3764964,30119742.51970141,0.46211387775303164,0,2793,0.0,False,False,udp,30,20251009,043418_782517
115.000203,116.000209,1.0000059604644775,3750136,30000909.180646535,0.4595792876593987,0,2782,0.0,False,False,udp,30,20251009,043418_782517
116.000209,117.000204,0.999994993209839,3769008,30152214.965813227,0.44789756390984153,0,2796,0.0,False,False,udp,30,20251009,043418_782517
117.000204,118.000202,0.9999979734420776,3742048,29936444.667939108,0.490376677645766,0,2776,0.0,False,False,udp,30,20251009,043418_782517
118.000202,119.000191,0.9999889731407166,3728568,29828872.91878426,0.46807629405903883,0,2766,0.0,False,False,udp,30,20251009,043418_782517
119.000191,120.000203,1.0000120401382446,3742048,29936023.56613777,0.5260084632295026,0,2776,0.0,False,False,udp,30,20251009,043418_782517
120.000203,121.000145,0.9999420046806335,3787880,30304797.53641146,0.4430002727559873,0,2810,0.0,False,False,udp,30,20251009,043418_782517
121.000145,122.000201,1.0000560283660889,3742048,29934706.807288237,0.4664511730616812,0,2776,0.0,False,False,udp,30,20251009,043418_782517
122.000201,123.000214,1.000012993812561,3738004,29903643.437662277,0.5217029457201777,0,2773,0.0,False,False,udp,30,20251009,043418_782517
123.000214,124.000206,0.9999920129776,3762268,30098384.396470375,0.44918473220375965,0,2791,0.0,False,False,udp,30,20251009,043418_782517
124.000206,125.000205,0.9999989867210388,3756876,30055038.454138145,0.37385373664585525,0,2787,0.0,False,False,udp,30,20251009,043418_782517
125.000205,126.000216,1.0000109672546387,3731264,29849784.629811056,0.4943337792070022,0,2768,0.0,False,False,udp,30,20251009,043418_782517
126.000216,127.000217,1.0000009536743164,3731264,29850083.532741994,0.549324249167283,0,2768,0.0,False,False,udp,30,20251009,043418_782517
127.000217,128.000174,0.999957025051117,3779792,30239635.546791866,0.4954902073703912,0,2804,0.0,False,False,udp,30,20251009,043418_782517
128.000174,129.00021,1.0000360012054443,3758224,30064709.634211835,0.4401546416145987,0,2788,0.0,False,False,udp,30,20251009,043418_782517
